"rowNumber","productName","productCode","error"
39,"Silver Double Circle Crystal Drop Earrings for Women","FU260036-1","Image folder not found for productCode FU260036-1. Tried: FU260036-1, FU260036-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
40,"Green Oval Crystal Drop Earrings for Women","FU260037-1","Image folder not found for productCode FU260037-1. Tried: FU260037-1, FU260037-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
41,"Flower Earings for Girls & Women","FU260038-1","Image folder not found for productCode FU260038-1. Tried: FU260038-1, FU260038-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
42,"Flower Earings for Girls & Women","FU260038-2","Image folder not found for productCode FU260038-2. Tried: FU260038-2, FU260038-02. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
43,"Silver Round Crystal Drop Earrings for Women","FU260039-1","Image folder not found for productCode FU260039-1. Tried: FU260039-1, FU260039-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
44,"Crystal Drop Earrings for Women with Square Gemstone Detailing","FU260040-1","Image folder not found for productCode FU260040-1. Tried: FU260040-1, FU260040-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
45,"Crystal Drop Earrings for Women with Square Gemstone Detailing","FU260040-2","Image folder not found for productCode FU260040-2. Tried: FU260040-2, FU260040-02. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
46,"Gold Tone Teardrop Crystal Pendant Necklace for Women","FU260041-1","Image folder not found for productCode FU260041-1. Tried: FU260041-1, FU260041-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
47,"Gold Tone Pink Crystal Pendant Necklace for Women","FU260042-1","Image folder not found for productCode FU260042-1. Tried: FU260042-1, FU260042-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
48,"Gold Tone Red Heart Crystal Pendant Necklace for Women","FU260043-1","Image folder not found for productCode FU260043-1. Tried: FU260043-1, FU260043-01. Available folders inside zip: 2901-1, 2902-1, 2903-1, 2904-1, 2905-1, 2906-1, 2907-1, 2908-1 (+21 more)."
